pH,quality
3.51,5
3.2,5
3.26,5
3.16,6
3.51,5
3.51,5
3.3,5
3.39,7
3.36,7
3.35,5
3.28,5
3.35,5
3.58,5
3.26,5
3.16,5
3.17,5
3.3,7
3.11,5
3.38,4
3.04,6
3.39,6
3.52,5
3.17,5
3.17,5
3.43,6
3.34,5
3.28,5
3.17,5
3.47,5
3.38,6
3.35,5
3.46,6
3.17,5
3.45,6
3.38,5
3.4,6
3.42,6
3.23,7
3.5,4
3.33,5
3.33,5
3.26,4
3.21,6
3.3,5
3.48,5
3.9,4
3.25,5
3.25,5
3.34,5
3.32,5
3.15,5
3.4,6
3.39,6
3.2,5
3.17,6
3.34,5
3.04,5
3.26,5
3.43,5
3.41,6
3.44,5
3.21,5
3.38,7
3.39,5
3.41,5
3.41,5
3.42,5
3.44,5
3.28,5
3.34,6
3.32,6
3.32,5
3.31,5
3.31,4
3.28,5
3.54,5
3.54,5
3.52,6
3.38,5
3.16,4
3.41,5
3.13,5
3.36,5
3.16,5
3.44,6
3.41,5
2.93,6
3.39,5
3.14,5
3.48,5
3.23,5
2.93,6
2.93,5
3.39,5
3.75,4
3.85,6
3.45,5
3.25,5
3.39,5
3.3,6
3.4,6
3.31,6
3.3,6
3.29,5
3.33,5
3.29,5
3.08,5
3.46,5
3.37,6
3.21,5
3.19,5
3.15,5
3.15,5
3.32,6
3.19,5
3.07,6
3.39,6
3.37,6
3.21,6
3.34,6
3.3,5
3.21,6
3.49,5
3.44,5
3.39,5
3.16,5
3.53,5
3.54,5
3.42,7
3.42,5
3.24,5
3.63,5
3.63,5
3.4,6
3.22,6
3.19,5
3.23,5
3.48,5
3.33,5
3.32,5
3.19,5
3.23,5
3.68,6
3.34,5
3.68,6
3.17,5
3.54,5
3.11,5
3.42,6
3.53,6
3.33,6
2.74,4
3.35,5
3.35,5
3.42,5
3.42,5
3.42,5
3.42,5
3.48,5
3.59,6
3.2,5
3.17,4
3.33,6
3.37,5
3.37,5
3.19,5
3.34,5
3.37,4
3.47,6
3,5
3.36,4
3.29,6
3.29,6
3.42,6
3.33,5
3.35,5
3.33,5
3.58,6
3.48,5
3.19,5
3.19,5
3.12,5
3.44,5
3.54,5
3.52,6
3.26,5
3.34,5
3.39,5
3.2,5
3.2,5
3.23,5
3.57,6
3.28,5
3.28,5
3.28,5
3.25,5
3.46,5
3.11,6
3.57,7
3.51,4
3.22,7
3.04,5
3.36,5
3.34,5
3.34,6
3.2,7
3.2,7
3.29,5
3.22,5
3.31,7
3.3,6
3.35,6
3.21,6
3.3,5
3.24,6
3.34,5
3.14,5
3.36,5
3.39,5
3.3,5
3.34,6
3.15,5
3.42,5
3.28,6
3.31,4
3.37,6
3.04,6
3.39,5
3.37,6
3.46,5
3.54,7
3.37,6
3.34,6
3.46,5
3.32,6
3.37,6
3.37,6
3.37,6
3.37,6
3.32,6
3,5
3.14,6
3.08,6
3.07,7
3.07,7
3.61,6
3.38,5
3.2,5
3.35,6
3.61,6
3.22,6
3.47,6
3.17,5
3.23,5
3.47,6
3.26,5
3.22,5
3.49,5
3.06,5
3.36,7
3.29,5
3.35,4
3.34,5
3.28,5
3.08,5
3.2,7
3.6,4
3.35,8
3.69,6
3.28,6
3.36,6
3.28,6
3.22,5
3.31,5
3.38,5
3.36,6
3.69,6
3.28,6
3.23,8
3.38,7
3.12,6
3.25,7
3.36,5
3.38,7
3.31,5
3.31,5
3.1,6
3.37,6
3.34,7
3.2,5
3.34,7
3.3,5
3.22,6
3.41,6
3.05,6
3.05,5
3.16,5
3.67,5
3.67,5
3.68,5
3.38,6
3.22,6
3.51,5
3.39,5
3.2,5
3.12,6
3.36,5
3.19,6
3.19,6
3.41,6
3.12,6
3.27,6
3.32,6
3.3,5
3.39,5
3.42,6
3.3,5
3.3,6
3.37,7
3.3,6
3.37,7
3.24,5
3.29,5
3.28,6
3.16,6
3.16,6
3.05,7
3.28,5
3.16,6
3.18,5
3.23,6
3.23,6
3.22,6
3.13,5
3.34,7
3.17,7
3.35,6
3.31,5
3.16,6
3.11,7
3.12,6
3.21,6
3.3,6
3.3,6
3.12,6
3.6,5
3.58,7
3.02,6
3.11,6
3.36,6
3.28,6
3.35,6
3.27,5
3.18,5
3.25,6
3.55,6
3.26,5
3.24,7
3.15,7
3.17,6
3.19,5
3.37,6
3.05,5
2.99,5
3.07,7
3.26,6
3.07,7
3.16,5
3.18,5
3.2,7
3.57,5
3.32,6
3.32,6
3.05,5
3.01,6
3.01,7
3.26,6
3.2,7
3.11,6
3.31,6
3.21,6
3.06,6
3.21,6
3.21,6
3.42,5
3.43,6
3.41,6
3.31,6
3.43,6
3.19,7
3.56,8
3.06,6
3.18,5
3.16,5
3.03,5
3.22,7
3.47,5
3.18,6
3.18,6
3.1,5
3.47,5
3.29,6
3.1,6
3.15,6
3.26,5
3.36,6
3.24,6
3.18,7
3.19,6
3.05,4
3.38,6
3.38,5
3.27,5
3.27,7
3.26,5
3.32,5
3.26,6
3.44,5
3.24,6
3.62,5
3.28,7
3.52,7
3.36,5
3.15,7
3.36,5
3.52,7
3.49,6
3.26,6
3.24,5
3.1,6
3.15,7
3.25,5
3,6
3.16,5
3.15,6
3.16,5
3.26,6
3.17,6
3.15,6
