pH,quality
3.08,5
2.88,8
3.06,6
2.95,7
3.23,7
3.57,7
3.23,6
3.1,5
3.22,5
3.2,6
3.1,6
3.1,6
3.06,6
3.44,6
3.26,7
3.5,5
3.22,8
3.37,5
3.28,5
3.26,7
3.25,3
3.35,6
3.26,5
3.18,5
3.08,5
2.98,6
3.48,5
3.16,6
3.32,6
3.17,6
3.2,5
3.05,5
3.2,6
3.15,6
3.26,5
3.2,6
3.14,5
3.28,5
3.18,6
3.14,5
3.19,6
3.12,5
3.15,8
3.04,5
3.04,5
3.06,6
3.17,5
3.17,5
3.17,6
3.32,7
3.34,6
3.31,6
3.34,7
3.32,7
3.48,6
3.44,6
3.15,8
3.43,6
3.32,5
3.15,8
3.48,6
3.43,6
3.17,7
3.17,7
3.18,7
3.21,7
3.16,7
3.25,7
3.17,6
3.18,6
3.04,7
3.02,5
3.18,6
3.03,6
3.09,7
3.09,7
3.31,5
3.25,6
3.16,3
3.22,6
3.36,5
3.42,6
3.48,5
3.38,5
3.22,5
3.23,5
3.24,5
3.36,5
3.39,6
3.34,6
3.09,5
3.41,6
3.16,5
3.16,5
3.22,6
3.28,6
3.41,6
3.09,5
3.37,6
3.2,7
3.22,5
3.26,5
3.21,6
3.12,5
3.06,6
2.86,6
3.08,5
3.45,6
3.26,6
3.12,6
3.27,6
3.33,6
3.19,6
3.12,6
3.74,5
2.92,5
2.92,5
3.07,6
2.92,5
3.07,6
3.3,6
3.14,5
3.23,5
3.08,5
3.31,6
3.3,6
3.14,5
3.32,6
3.32,6
3.31,6
3.57,6
3.32,6
3.57,6
3.14,5
3.3,4
3.19,6
3.2,6
3.34,4
3.3,5
3.29,5
3.14,6
3.19,5
3.19,5
3.19,5
2.98,7
3.3,7
3.47,6
3.12,7
3.26,5
3.72,8
3.05,7
3.35,5
3.12,6
3.35,5
3.29,5
3.4,5
3.27,5
3.04,6
3.09,6
3.2,6
3,6
3.26,4
3.1,6
3.3,5
3.1,6
3.17,6
3.31,6
3.34,7
3.31,6
3.32,6
3.56,6
3.39,5
2.98,5
3.32,6
3.26,5
2.87,6
3.5,5
3.5,5
3.03,6
3.13,5
3.09,5
3.27,5
3.28,5
3.13,5
3.49,6
3.46,5
3.46,5
3.36,5
3.36,5
3.27,6
3.21,5
3.27,6
3.25,5
3.32,6
3.43,4
3.27,5
3.27,5
3.24,5
3.24,5
3.35,7
3.18,6
3.39,5
3.46,5
3.39,5
3.46,5
3.39,5
3.37,7
3.4,5
3.32,4
3.33,7
3.16,6
2.89,5
3.41,5
2.98,5
3.12,6
3.08,5
3.14,5
2.89,5
2.92,7
3.32,6
3.41,4
3.32,6
3.31,5
3.36,6
3.04,6
3.03,5
3.14,5
3.18,6
2.94,6
3.15,5
2.94,6
3.26,5
3.2,5
3.15,5
3.2,5
3.08,6
3.26,5
3.08,6
3.4,5
3.48,5
3.13,5
3.06,5
3.21,6
3.33,5
3.37,5
3.25,5
3.37,5
3.44,5
3.28,5
3.4,5
3.3,5
3.63,3
3.48,5
3.03,5
3.32,5
3.31,5
3.9,6
3.47,6
3.47,6
3.31,5
3.11,6
3.08,6
3.47,6
3.47,6
3.32,4
3.29,4
3.37,5
3.4,5
3.37,5
3.34,6
3.27,6
3.06,5
3.38,5
3.36,5
3.34,5
3.28,5
3.29,6
3.34,5
3.21,5
3.22,5
3.46,5
3.22,5
3.1,5
3.21,5
2.94,5
3.54,4
3.29,5
3.43,6
3.46,5
3.46,5
3.61,6
3.17,5
3.44,5
3.39,5
3.55,5
3.48,5
3.26,5
3.26,5
3.5,6
3.1,5
3.35,5
3.45,6
3.21,5
3.46,5
3.13,5
3.13,5
3.52,6
3.3,6
3.3,5
3.52,6
3.52,6
3.29,5
3.29,5
3.39,5
3.29,5
3.09,6
3.51,6
3.6,6
3.25,5
3.25,5
3.19,5
3.23,5
3.25,5
3.31,6
3.25,5
3.31,6
3.31,6
3.14,5
3.45,5
3.55,6
3.39,5
3.55,6
3.28,5
3.27,5
3.3,6
3.31,6
3.43,5
3.4,6
3.4,6
3.36,5
3.5,5
3.31,6
3.66,5
3.36,5
3.66,5
3.55,5
3.21,5
3.21,5
3.18,6
3.18,6
3.09,5
3.33,6
3.23,5
3.48,6
3.38,5
3.17,6
2.99,5
3.1,5
3.24,7
3.29,6
3.29,6
3.25,5
3.23,5
3.56,7
3.24,6
3.26,6
3.33,7
3.27,7
3.33,7
3.26,5
3.22,6
3.3,5
3.09,6
3.24,5
3.44,4
3.21,6
3.24,5
3.23,6
3.28,6
3.29,5
3.28,5
3.34,5
3.71,7
3.61,5
3.61,5
3.24,5
3.36,5
3.4,7
3.36,5
3.46,8
3.56,6
3.38,4
3.56,6
3.38,3
3.38,4
3.32,5
3.39,5
3.26,7
3.26,7
